발생일,lat,lng,주소,Address,geometry
2022-12-23,35.20469468,129.1014602,부산광역시 동래구 명장동  184번길,부산광역시 동래구 명장동  184번길,POINT (129.1014601535452 35.20469468302124)
2022-12-23,35.11849516,129.0805543,부산광역시 남구 감만동  83번길-6,부산광역시 남구 감만동  83번길-6,POINT (129.0805543203452 35.11849516079457)
2022-12-23,35.11848184,129.080543,부산광역시 남구 감만동  83번길-2,부산광역시 남구 감만동  83번길-2,POINT (129.0805430137741 35.11848183749615)
2022-12-23,35.21118546,129.0106964,부산광역시 북구 덕천동  462번길,부산광역시 북구 덕천동  462번길,POINT (129.0106964111328 35.21118545532227)
2022-12-23,35.19341354,129.079472,부산광역시 연제구 거제동  473번길-1,부산광역시 연제구 거제동  473번길-1,POINT (129.0794719619573 35.19341353956523)
2022-12-23,35.16485596,129.1612095,부산광역시 해운대구 우동  1451번길,부산광역시 해운대구 우동  1451번길,POINT (129.1612094664 35.164855957)
2022-12-23,35.16333008,129.0521666,부산광역시 부산진구 부암동  92번길-5,부산광역시 부산진구 부암동  92번길-5,POINT (129.0521665717 35.1633300781)
2022-12-23,35.147892,128.8799896,부산광역시 강서구 범방동  1959번길,부산광역시 강서구 범방동  1959번길,POINT (128.8799896240234 35.14789199829102)
2022-12-23,35.10468041,128.9708367,부산광역시 사하구 당리동  314번길,부산광역시 사하구 당리동  314번길,POINT (128.970836715436 35.1046804056019)
2022-12-22,35.1604282,129.0623912,부산광역시 부산진구 전포동  868번길,부산광역시 부산진구 전포동  868번길,POINT (129.0623911979736 35.16042820054241)
2022-12-22,35.08493055,128.98329,부산광역시 사하구 신평동  569번길-74,부산광역시 사하구 신평동  569번길-74,POINT (128.9832899934758 35.08493054540107)
2022-12-22,35.27578066,129.0921473,부산광역시 금정구 청룡동  57번길-1,부산광역시 금정구 청룡동  57번길-1,POINT (129.092147304964 35.27578065723866)
2022-12-22,35.27574666,129.0922893,부산광역시 금정구 청룡동  57번길-1,부산광역시 금정구 청룡동  57번길-1,POINT (129.0922892855531 35.27574666085887)
2022-12-22,35.11491763,128.9193266,부산광역시 강서구 명지동  400번길-2,부산광역시 강서구 명지동  400번길-2,POINT (128.919326564534 35.11491763156592)
2022-12-23,35.17347563,128.9885338,부산광역시 사상구 덕포동  792번길,부산광역시 사상구 덕포동  792번길,POINT (128.9885338220456 35.17347562652996)
2022-12-23,35.18871138,129.0741105,부산광역시 연제구 거제동  1190번길-1,부산광역시 연제구 거제동  1190번길-1,POINT (129.0741105173008 35.18871137721397)
2022-12-23,35.23954431,129.0904031,부산광역시 금정구 부곡동  398번길-1,부산광역시 금정구 부곡동  398번길-1,POINT (129.0904030793108 35.23954430761339)
2022-12-23,35.20167491,128.8928787,부산광역시 강서구 죽림동  639번길,부산광역시 강서구 죽림동  639번길,POINT (128.8928787073884 35.20167491170257)
2022-12-22,35.08906557,128.9124363,부산광역시 강서구 명지동  2984번길-102,부산광역시 강서구 명지동  2984번길-102,POINT (128.9124362772481 35.08906557109828)
2022-12-22,35.14866365,128.8311813,부산광역시 강서구 지사동  1215번길-2,부산광역시 강서구 지사동  1215번길-2,POINT (128.831181342465 35.148663647653)
2022-12-22,35.24042508,129.0832256,부산광역시 금정구 장전동  657번길-41,부산광역시 금정구 장전동  657번길-41,POINT (129.0832256125179 35.24042507519466)
2022-12-21,35.07684972,128.9728994,부산광역시 사하구 장림동  601번길-2,부산광역시 사하구 장림동  601번길-2,POINT (128.972899375306 35.07684972191182)
2022-12-21,35.07611536,128.9728927,부산광역시 사하구 장림동  595번길-2,부산광역시 사하구 장림동  595번길-2,POINT (128.9728926541304 35.07611536211437)
